Level,Technician,BusyMinutes,UtilizationPercent
1,L1-Tech-1,5924.0,61.708333333333336
1,L1-Tech-2,6217.0,64.76041666666667
1,L1-Tech-3,6094.0,63.479166666666664
2,L2-Tech-1,5180.0,53.958333333333336
2,L2-Tech-2,4874.0,50.770833333333336
3,L3-Tech-1,2735.0,28.489583333333332
