SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
1,TKT0066,76.93467532691183,136.93467532691182,59.999999999999986,1,60,0,0
4,TKT0026,208.68558110073548,230.68558110073548,22.0,1,22,0,0
2,TKT0385,153.247027322888,299.247027322888,146.00000000000003,3,28,76,42
5,TKT0156,253.80432331697784,353.80432331697784,100.0,2,8,92,0
6,TKT0499,256.34173762685015,420.34173762685015,164.0,2,73,91,0
3,TKT0483,162.20044459813866,433.2004445981387,271.0,3,38,120,113
8,TKT0023,324.6804408129981,435.80432331697784,111.12388250397976,2,19,82,0
7,TKT0256,289.8316847162314,466.34173762685015,176.51005291061875,2,81,46,0
10,TKT0476,419.49365731045026,466.49365731045026,47.0,1,47,0,0
12,TKT0090,434.5001359011261,486.5001359011261,52.0,1,52,0,0
11,TKT0118,424.4144014328895,546.8043233169778,122.38992188408832,2,5,111,0
14,TKT0240,503.25486310700717,547.2548631070072,44.0,1,44,0,0
15,TKT0257,510.40930701780144,552.4093070178014,42.0,2,23,19,0
13,TKT0450,463.3385127129712,584.4936573104503,121.15514459747914,1,118,0,0
16,TKT0300,549.6760546406578,612.6760546406578,63.0,1,63,0,0
9,TKT0177,380.08291610527993,628.08291610528,248.00000000000006,3,99,39,110
17,TKT0244,570.6615315674737,638.6615315674737,68.0,1,68,0,0
22,TKT0195,644.6739524165655,719.6760546406578,75.00210222409225,1,62,0,0
18,TKT0133,585.1677616250182,732.1677616250182,147.0,2,49,98,0
19,TKT0311,587.6342303307991,752.6760546406578,165.0418243098586,2,45,95,0
20,TKT0166,609.5644847821352,764.6760546406578,155.11156985852256,2,57,12,0
23,TKT0126,652.2877109541021,779.6615315674737,127.37382061337166,1,116,0,0
25,TKT0157,683.8201941102078,814.6760546406578,130.85586053044995,1,95,0,0
21,TKT0037,622.0022523392495,847.1677616250182,225.16550928576874,2,25,115,0
30,TKT0474,836.9362359359741,897.6615315674737,60.72529563149965,1,41,0,0
24,TKT0088,672.8175265441985,908.1677616250182,235.35023508081974,2,115,102,0
29,TKT0102,800.646075880846,914.6760546406578,114.0299787598118,1,78,0,0
28,TKT0216,765.9554221859598,917.1677616250182,151.21233943905838,2,22,70,0
31,TKT0344,880.2750515476596,937.6615315674737,57.386480019814144,1,40,0,0
34,TKT0267,910.8462139145049,941.1677616250182,30.3215477105133,1,5,0,0
32,TKT0108,889.2366233952251,951.6760546406578,62.439431245432615,1,37,0,0
26,TKT0239,711.9454639403692,988.1677616250182,276.222297684649,3,77,75,5
35,TKT0235,911.5226861196181,1010.6615315674737,99.1388454478556,1,73,0,0
33,TKT0491,899.5065815083782,1032.167761625018,132.6611801166399,2,11,49,0
27,TKT0019,721.4477746260908,1035.167761625018,313.7199869989273,2,119,110,0
36,TKT0499,953.6045051451272,1123.167761625018,169.56325647989092,2,73,91,0
38,TKT0151,1090.5579762742684,1167.5579762742684,77.0,1,77,0,0
40,TKT0267,1107.4344517024551,1172.5579762742684,65.12352457181328,1,5,0,0
37,TKT0450,1081.468705823042,1199.468705823042,118.0,1,118,0,0
41,TKT0066,1142.1008560183466,1232.5579762742684,90.45712025592184,1,60,0,0
39,TKT0322,1103.2861763992998,1247.2861763992998,144.0,2,89,55,0
42,TKT0377,1190.3507481989163,1257.2861763992998,66.93542820038351,2,30,35,0
43,TKT0095,1360.2669976632292,1472.2669976632292,112.0,3,15,58,39
44,TKT0043,1412.9027045590879,1483.9027045590879,71.0,1,71,0,0
46,TKT0493,1447.7169457830382,1500.7169457830382,53.0,1,53,0,0
47,TKT0498,1478.3282349612846,1500.9027045590879,22.574469597803272,2,10,7,0
45,TKT0353,1446.2944319823391,1519.2944319823391,73.0,2,57,16,0
48,TKT0197,1526.5829989647914,1609.5829989647914,83.0,1,83,0,0
49,TKT0065,1591.4790495617913,1703.4790495617913,112.0,1,112,0,0
50,TKT0001,1593.0710726403106,1731.0710726403106,138.0,2,73,65,0
51,TKT0466,1622.6653841642394,1737.6653841642394,115.0,2,23,92,0
52,TKT0194,1648.93967525571,1742.93967525571,94.0,1,94,0,0
53,TKT0189,1717.12984760273,1778.12984760273,61.0,3,25,23,13
55,TKT0349,1768.418712957217,1823.418712957217,55.0,2,39,16,0
56,TKT0211,1772.9780996049062,1825.9780996049062,53.0,1,53,0,0
54,TKT0184,1759.1776571273351,1869.1776571273351,110.0,1,110,0,0
58,TKT0259,1831.6749159111325,1888.6749159111325,57.0,1,57,0,0
57,TKT0164,1776.743933783309,1905.418712957217,128.67477917390784,1,98,0,0
60,TKT0386,1875.9492945785971,1962.1776571273351,86.228362548738,1,85,0,0
59,TKT0156,1846.0305958716742,1969.1776571273351,123.1470612556609,2,8,92,0
63,TKT0390,1933.8201966876957,1995.1776571273351,61.35746043963945,1,33,0,0
62,TKT0331,1923.284446415673,2013.284446415673,90.0,1,90,0,0
66,TKT0455,1976.6813255685734,2018.284446415673,41.60312084709972,1,5,0,0
61,TKT0243,1881.9418531535787,2039.6749159111325,157.73306275755385,2,98,53,0
64,TKT0010,1950.8128241842892,2178.6749159111323,227.86209172684312,2,84,108,0
67,TKT0037,2048.741439639009,2188.741439639009,140.0,2,25,115,0
65,TKT0158,1960.5674120181056,2213.6749159111323,253.10750389302666,2,86,35,0
68,TKT0036,2147.3785988585983,2215.3785988585983,68.0,1,68,0,0
69,TKT0024,2212.8644332628587,2298.8644332628587,86.0,2,9,77,0
72,TKT0015,2307.5124321371527,2313.5124321371527,6.0,1,6,0,0
71,TKT0441,2295.3454277801943,2355.3454277801943,60.0,1,60,0,0
74,TKT0263,2319.011859136057,2375.3454277801943,56.33356864413736,1,20,0,0
77,TKT0395,2369.227457574608,2429.5221643530085,60.29470677840072,1,17,0,0
70,TKT0113,2272.083645906054,2446.083645906054,174.0,2,115,59,0
75,TKT0098,2325.0246269763925,2503.3454277801943,178.32080080380183,2,114,14,0
73,TKT0317,2314.5221643530085,2543.5221643530085,229.0,3,98,66,65
81,TKT0026,2531.207297706147,2553.207297706147,22.0,1,22,0,0
82,TKT0467,2535.167732806748,2556.167732806748,21.0,1,21,0,0
80,TKT0170,2493.145827731972,2584.145827731972,91.0,1,91,0,0
78,TKT0237,2438.3403824041993,2599.3403824041993,161.0,2,42,119,0
76,TKT0439,2355.984607141953,2623.3454277801943,267.3608206382414,2,109,120,0
84,TKT0453,2577.232080588443,2647.232080588443,70.0,1,70,0,0
85,TKT0464,2608.325742076002,2652.325742076002,44.0,1,44,0,0
