coin,date,price
bitcoin,1739404800000,97836.19
bitcoin,1739491200000,96561.66
bitcoin,1739577600000,97488.48
bitcoin,1739664000000,97569.95
bitcoin,1739750400000,96149.35
bitcoin,1739836800000,95776.16
bitcoin,1739923200000,95495.89
bitcoin,1740009600000,96554.87
bitcoin,1740096000000,98384.32
bitcoin,1740182400000,96135.16
bitcoin,1740268800000,96564.15
bitcoin,1740355200000,96327.46
bitcoin,1740441600000,91396.77
bitcoin,1740528000000,88755.77
bitcoin,1740614400000,83900.11
bitcoin,1740700800000,84709.14
bitcoin,1740787200000,84441.9
bitcoin,1740873600000,86005.26
bitcoin,1740960000000,94261.53
bitcoin,1741046400000,86124.71
bitcoin,1741132800000,87310.81
bitcoin,1741219200000,90604.08
bitcoin,1741305600000,90001.4
bitcoin,1741392000000,86773.34
bitcoin,1741478400000,86142.98
bitcoin,1741564800000,80751.14
bitcoin,1741651200000,78783.94
bitcoin,1741737600000,82799.11
bitcoin,1741824000000,83884.25
bitcoin,1741910400000,81098.9
bitcoin,1741996800000,83971.71
bitcoin,1742083200000,84391.69
bitcoin,1742169600000,82610.62
bitcoin,1742256000000,84075.37
bitcoin,1742342400000,82780.03
bitcoin,1742428800000,86815.44
bitcoin,1742515200000,84270.84
bitcoin,1742601600000,84009.53
bitcoin,1742688000000,83793.31
bitcoin,1742774400000,85787.71
bitcoin,1742860800000,87327.73
bitcoin,1742947200000,87520.58
bitcoin,1743033600000,86960.86
bitcoin,1743120000000,87227.27
bitcoin,1743206400000,84359.47
bitcoin,1743292800000,82679.17
bitcoin,1743379200000,82356.38
bitcoin,1743465600000,82514.09
bitcoin,1743552000000,85237.59
bitcoin,1743638400000,82526.42
bitcoin,1743724800000,83163.99
bitcoin,1743811200000,83852.01
bitcoin,1743897600000,83595.89
bitcoin,1743984000000,78211.48
bitcoin,1744070400000,79179.29
bitcoin,1744156800000,76329.09
bitcoin,1744243200000,82622.17
bitcoin,1744329600000,79596.36
bitcoin,1744416000000,83439.29
bitcoin,1744502400000,85305.1
bitcoin,1744588800000,83600.82
bitcoin,1744675200000,84523.45
bitcoin,1744761600000,83656.49
bitcoin,1744848000000,84105.78
bitcoin,1744934400000,84930.91
bitcoin,1745020800000,84433.75
bitcoin,1745107200000,85126.66
bitcoin,1745193600000,85073.17
bitcoin,1745280000000,87452.05
bitcoin,1745366400000,93576.17
bitcoin,1745452800000,93605.45
bitcoin,1745539200000,93872.81
bitcoin,1745625600000,94773.11
bitcoin,1745712000000,94644.07
bitcoin,1745798400000,93809.34
bitcoin,1745884800000,95030.61
bitcoin,1745971200000,94256.36
bitcoin,1746057600000,94235.75
bitcoin,1746144000000,96426.95
bitcoin,1746230400000,96855.57
bitcoin,1746316800000,95922.87
bitcoin,1746403200000,94326.62
bitcoin,1746489600000,94758.82
bitcoin,1746576000000,96854.53
bitcoin,1746662400000,97026.49
bitcoin,1746748800000,103076.28
bitcoin,1746835200000,102962.54
bitcoin,1746921600000,104630.88
bitcoin,1747008000000,103994.06
bitcoin,1747094400000,102876.83
bitcoin,1747180800000,104184.49
bitcoin,1747267200000,103594.43
bitcoin,1747353600000,103708.85
bitcoin,1747440000000,103556.03
bitcoin,1747526400000,103212.36
bitcoin,1747612800000,106030.64
bitcoin,1747699200000,105629.42
bitcoin,1747785600000,106786.72
bitcoin,1747872000000,109665.86
bitcoin,1747958400000,111560.36
bitcoin,1748044800000,107216.67
bitcoin,1748131200000,107831.36
bitcoin,1748217600000,108861.81
bitcoin,1748304000000,109377.72
bitcoin,1748390400000,109068.46
bitcoin,1748476800000,107838.18
bitcoin,1748563200000,105745.42
bitcoin,1748649600000,104010.92
bitcoin,1748736000000,104687.51
bitcoin,1748822400000,105710.01
bitcoin,1748908800000,105884.74
bitcoin,1748995200000,105434.48
bitcoin,1749081600000,104812.92
bitcoin,1749168000000,101650.74
bitcoin,1749254400000,104409.75
bitcoin,1749340800000,105681.45
bitcoin,1749427200000,105692.25
bitcoin,1749513600000,110261.57
bitcoin,1749600000000,110212.73
bitcoin,1749686400000,108679.98
bitcoin,1749772800000,105979.23
bitcoin,1749859200000,106045.56
bitcoin,1749945600000,105482.91
bitcoin,1750032000000,105554.49
bitcoin,1750118400000,106951.27
bitcoin,1750204800000,104683.42
bitcoin,1750291200000,104722.7
bitcoin,1750377600000,104690.65
bitcoin,1750464000000,103290.11
bitcoin,1750550400000,101532.57
bitcoin,1750636800000,100852.58
bitcoin,1750723200000,105511.62
bitcoin,1750809600000,105976.07
bitcoin,1750896000000,107238.53
bitcoin,1750982400000,106984.01
bitcoin,1751068800000,107078.92
bitcoin,1751155200000,107331.59
bitcoin,1751241600000,108396.62
bitcoin,1751328000000,107132.8
bitcoin,1751414400000,105613.4
bitcoin,1751500800000,108824.44
bitcoin,1751587200000,109602.2
bitcoin,1751673600000,108040.89
bitcoin,1751760000000,108217.47
bitcoin,1751846400000,109215.2
bitcoin,1751932800000,108300.72
bitcoin,1752019200000,108953.19
bitcoin,1752105600000,111327.53
bitcoin,1752192000000,115879.65
bitcoin,1752278400000,117571.03
bitcoin,1752364800000,117418.96
bitcoin,1752451200000,119117.56
bitcoin,1752537600000,119833.67
bitcoin,1752624000000,117678.19
bitcoin,1752710400000,118748.16
bitcoin,1752796800000,119445.37
bitcoin,1752883200000,117988.95
bitcoin,1752969600000,117901.63
bitcoin,1753056000000,117256.92
bitcoin,1753142400000,117482.47
bitcoin,1753228800000,119955.8
bitcoin,1753315200000,118629.06
bitcoin,1753401600000,118354.44
bitcoin,1753488000000,117540.81
bitcoin,1753574400000,117959.54
bitcoin,1753660800000,119418.91
bitcoin,1753747200000,118003.3
bitcoin,1753833600000,117853.31
bitcoin,1753920000000,117833.24
bitcoin,1754006400000,115700
bitcoin,1754092800000,113234.61
bitcoin,1754179200000,112554.9
bitcoin,1754265600000,114199.11
bitcoin,1754352000000,115138.69
bitcoin,1754438400000,114128.35
bitcoin,1754524800000,115022.1
bitcoin,1754611200000,117463.47
bitcoin,1754697600000,116688.37
bitcoin,1754784000000,116510.08
bitcoin,1754870400000,119266.93
bitcoin,1754956800000,118773.8
bitcoin,1755043200000,120202.53
bitcoin,1755129600000,123560.99
bitcoin,1755216000000,118405.6
bitcoin,1755302400000,117339.79
bitcoin,1755388800000,117501.22
bitcoin,1755475200000,117542.84
bitcoin,1755561600000,116256.41
bitcoin,1755648000000,112778.34
bitcoin,1755734400000,114252.4
bitcoin,1755820800000,112414.4
bitcoin,1755907200000,116834.25
bitcoin,1755993600000,115359.98
bitcoin,1756080000000,113399.55
bitcoin,1756166400000,110185.35
bitcoin,1756252800000,111842.71
bitcoin,1756339200000,111216.08
bitcoin,1756425600000,112525.6
bitcoin,1756512000000,108480.31
bitcoin,1756598400000,108781.96
bitcoin,1756684800000,108253.36
bitcoin,1756771200000,109162.69
bitcoin,1756857600000,111190.18
bitcoin,1756944000000,111711.52
bitcoin,1757030400000,110724.74
bitcoin,1757116800000,110662.18
bitcoin,1757203200000,110209.19
bitcoin,1757289600000,111131.99
bitcoin,1757376000000,112025.13
bitcoin,1757462400000,111547.44
bitcoin,1757548800000,113975.32
bitcoin,1757635200000,115503.17
bitcoin,1757721600000,116160.14
bitcoin,1757808000000,115970.58
bitcoin,1757894400000,115373.56
bitcoin,1757980800000,115397.25
bitcoin,1758067200000,116762.85
bitcoin,1758153600000,116455.95
